Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
0.5,40.93,10.04,297.60,2962.00,10.08,
1.0,113.64,9.88,1090.60,10650.00,9.99,
1.5,99.65,9.82,1024.00,10070.00,9.92,
2.0,103.89,9.90,978.60,9670.00,10.00,
2.5,99.32,9.84,970.20,9558.00,9.94,
3.0,98.94,9.86,980.60,9670.00,9.95,
3.5,96.24,9.85,969.70,9522.00,9.94,
4.0,95.01,9.88,945.40,9306.00,9.97,
4.5,86.42,9.87,859.40,8464.00,9.96,
5.0,88.73,9.84,851.70,8378.00,9.92,
5.5,93.69,9.84,936.30,9084.00,9.94,
6.0,101.13,9.85,1019.50,10040.00,9.95,
6.5,149.06,9.50,1429.30,14156.00,9.65,
7.0,85.97,9.78,875.00,8362.00,9.87,
7.5,137.40,9.60,1305.50,12554.00,9.74,
8.0,130.50,9.63,1409.40,13806.00,9.76,
8.5,111.69,9.80,1100.00,10798.00,9.91,
9.0,89.74,9.89,904.10,8632.00,9.98,
9.5,90.41,9.89,904.70,8746.00,9.98,
10.0,89.22,9.90,895.00,9096.00,9.99,
10.5,87.00,9.91,935.30,9290.00,9.99,
11.0,91.03,9.90,883.50,8752.00,10.00,
11.5,94.09,9.91,916.10,8752.00,10.01,
12.0,91.72,9.89,891.10,9086.00,9.98,
12.5,91.29,9.88,914.30,9012.00,9.97,
13.0,91.63,9.89,907.80,9168.00,9.98,
13.5,118.45,9.68,1266.50,12432.00,9.79,
14.0,90.21,9.91,906.70,8968.00,10.00,
14.5,84.27,9.90,865.50,8578.00,9.99,
15.0,90.76,9.90,905.00,8674.00,9.99,
15.5,94.90,9.88,917.70,9080.00,9.97,
16.0,139.92,9.80,1428.60,14052.00,9.94,
16.5,98.42,9.88,993.90,9818.00,9.98,
17.0,97.16,9.88,952.40,9412.00,9.98,
17.5,96.03,9.86,999.40,9890.00,9.96,
18.0,91.49,9.88,941.10,9306.00,9.98,
18.5,84.65,9.90,851.90,8396.00,9.98,
19.0,83.32,9.92,845.20,8366.00,10.00,
19.5,84.70,9.90,880.10,8530.00,9.98,
20.0,89.55,9.88,883.90,8732.00,9.97,
20.5,136.61,9.86,1191.20,11708.00,10.00,
21.0,86.75,9.88,881.80,8714.00,9.96,
21.5,85.41,9.89,869.80,8478.00,9.97,
22.0,128.76,9.83,1285.90,12560.00,9.96,
22.5,132.64,9.82,1332.70,12746.00,9.96,
23.0,85.67,9.90,877.60,8680.00,9.99,
23.5,124.36,9.82,1206.70,11856.00,9.94,
24.0,90.12,9.88,914.70,8926.00,9.97,
24.5,88.39,9.90,888.60,8804.00,9.98,
25.0,88.77,9.88,906.60,8982.00,9.97,
25.5,89.52,9.90,931.10,9198.00,9.99,
26.0,120.67,9.82,1171.70,11502.00,9.94,
26.5,99.31,9.87,952.20,9388.00,9.97,
27.0,97.54,9.86,989.10,10008.00,9.96,
27.5,118.83,9.74,1171.90,11440.00,9.85,
28.0,88.17,9.88,862.30,8536.00,9.97,
28.5,81.07,9.90,801.80,7944.00,9.98,
29.0,82.07,9.86,791.60,7816.00,9.95,
29.5,78.09,9.82,809.50,7960.00,9.89,
30.0,83.11,9.80,852.70,7674.00,9.88,
30.5,78.99,9.83,781.20,7704.00,9.91,
31.0,89.20,9.78,811.10,8320.00,9.87,
31.5,79.23,9.80,809.50,7920.00,9.88,
32.0,94.68,9.86,844.70,8386.00,9.95,
