Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
0.5,41.82,10.12,245.90,4312.00,10.16,
1.0,82.18,9.91,829.30,8258.00,9.99,
1.5,77.95,9.93,748.80,7442.00,10.01,
2.0,79.41,9.94,777.50,7834.00,10.02,
2.5,75.59,9.94,745.30,7680.00,10.02,
3.0,75.73,9.92,748.90,7438.00,9.99,
3.5,74.72,9.94,746.80,7406.00,10.01,
4.0,86.25,9.92,827.20,8398.00,10.01,
4.5,69.77,9.95,712.50,7078.00,10.02,
5.0,70.77,9.96,745.20,7448.00,10.03,
5.5,71.45,9.94,728.30,7226.00,10.02,
6.0,70.20,9.94,724.40,7196.00,10.01,
6.5,76.66,9.93,744.00,7390.00,10.00,
7.0,69.98,9.96,725.30,7218.00,10.03,
7.5,74.98,9.94,736.00,7278.00,10.01,
8.0,74.96,9.93,725.50,7212.00,10.00,
8.5,72.36,9.96,750.50,7446.00,10.03,
9.0,73.46,9.93,761.20,7570.00,10.01,
9.5,73.68,9.95,731.80,7274.00,10.02,
10.0,73.74,9.95,736.70,7308.00,10.03,
10.5,78.76,9.91,765.70,7618.00,9.99,
11.0,105.05,9.92,1142.70,11198.00,10.03,
11.5,79.18,9.94,830.60,8342.00,10.02,
12.0,97.25,9.94,907.20,8940.00,10.03,
12.5,80.68,9.98,835.80,8264.00,10.06,
13.0,98.32,9.91,891.10,8832.00,10.01,
13.5,85.32,9.87,830.40,8094.00,9.95,
14.0,85.72,9.90,864.50,8556.00,9.99,
14.5,81.73,9.82,881.60,8740.00,9.91,
15.0,115.77,9.84,1141.60,10764.00,9.96,
15.5,93.14,9.89,940.40,9332.00,9.99,
16.0,87.84,9.91,903.20,8940.00,10.00,
16.5,92.55,9.89,903.00,8982.00,9.98,
17.0,88.25,9.92,887.40,8808.00,10.01,
17.5,81.02,9.93,804.00,7986.00,10.01,
18.0,80.48,9.95,788.80,7818.00,10.03,
18.5,80.48,9.96,796.10,7888.00,10.04,
19.0,147.62,9.79,1451.30,14218.00,9.94,
19.5,94.30,9.56,1804.70,17550.00,9.66,
20.0,77.85,9.93,795.80,7898.00,10.01,
20.5,74.63,10.02,754.00,7772.00,10.09,
21.0,106.95,9.85,1074.80,10666.00,9.95,
21.5,83.98,9.93,833.80,8270.00,10.02,
22.0,86.81,9.89,871.60,8582.00,9.98,
22.5,83.65,9.93,821.90,8170.00,10.02,
23.0,106.56,9.92,960.00,9566.00,10.03,
23.5,133.24,9.88,1247.30,11624.00,10.02,
24.0,77.39,9.90,833.90,8216.00,9.97,
24.5,73.03,10.03,811.00,8110.00,10.11,
25.0,75.50,9.98,810.10,8032.00,10.06,
25.5,111.92,9.97,1004.00,9548.00,10.08,
26.0,97.12,9.90,989.60,9804.00,9.99,
26.5,83.33,9.94,850.50,8444.00,10.03,
27.0,88.59,9.92,874.40,8914.00,10.01,
27.5,86.38,9.93,871.90,8664.00,10.01,
28.0,76.34,9.95,753.40,7498.00,10.02,
28.5,77.13,9.95,791.50,7864.00,10.03,
29.0,83.82,9.91,789.00,7402.00,9.99,
29.5,82.23,9.91,831.70,8264.00,9.99,
30.0,89.13,9.95,880.10,8732.00,10.04,
30.5,79.62,9.92,763.90,7982.00,10.00,
31.0,94.20,9.93,941.10,9356.00,10.03,
31.5,95.56,9.93,851.00,8448.00,10.02,
32.0,73.61,10.08,694.90,6828.00,10.15,
32.5,81.77,9.90,836.90,8300.00,9.98,
33.0,81.54,9.94,1115.10,10732.00,10.02,
33.5,86.17,9.94,857.00,8268.00,10.03,
34.0,120.60,9.91,1093.90,10880.00,10.03,
34.5,82.68,9.94,823.60,8172.00,10.03,
35.0,74.51,10.04,711.30,7684.00,10.11,
35.5,117.20,9.78,1168.80,11570.00,9.89,
36.0,80.92,9.91,823.70,8192.00,9.99,
36.5,87.17,9.93,871.00,8648.00,10.02,
37.0,92.38,9.94,854.00,8470.00,10.03,
37.5,84.94,9.92,854.10,8478.00,10.01,
38.0,89.42,9.92,913.70,8572.00,10.01,
38.5,75.38,9.94,748.10,7432.00,10.01,
39.0,80.40,9.92,794.00,7884.00,10.00,
39.5,75.18,10.02,831.10,8198.00,10.10,
40.0,82.22,9.84,865.90,8376.00,9.93,
40.5,85.35,9.94,862.20,8562.00,10.02,
41.0,88.28,9.92,843.50,8366.00,10.01,
41.5,83.14,9.92,828.00,8316.00,10.01,
42.0,108.02,9.92,964.50,9594.00,10.03,
42.5,185.94,9.74,1557.10,14992.00,9.93,
43.0,81.14,9.88,844.90,8106.00,9.96,
43.5,119.56,9.87,1127.30,11128.00,9.99,
44.0,82.09,9.92,849.50,8396.00,10.00,
44.5,82.27,9.92,837.90,8316.00,10.01,
45.0,82.34,9.93,834.80,8244.00,10.01,
45.5,82.26,9.87,832.00,8268.00,9.95,
46.0,83.64,9.96,885.80,8896.00,10.04,
46.5,147.63,9.76,1321.30,12950.00,9.91,
47.0,84.82,9.92,901.60,8932.00,10.01,
47.5,86.99,9.91,846.50,8592.00,10.00,
48.0,87.18,9.92,892.50,8834.00,10.01,
48.5,82.57,9.93,856.00,8684.00,10.01,
49.0,78.08,9.93,768.90,7638.00,10.01,
49.5,79.76,9.94,787.90,7838.00,10.02,
50.0,82.13,9.94,832.10,8376.00,10.02,
50.5,115.72,9.90,1146.60,11314.00,10.02,
51.0,85.22,9.92,907.80,8776.00,10.00,
51.5,81.17,9.90,833.40,8274.00,9.99,
52.0,140.97,9.73,1383.60,13648.00,9.87,
52.5,81.14,9.96,806.60,7952.00,10.04,
53.0,128.80,9.83,1305.20,12856.00,9.96,
53.5,82.30,9.94,1218.20,11886.00,10.03,
54.0,84.09,9.90,840.90,8642.00,9.98,
54.5,79.44,9.94,742.20,7418.00,10.02,
55.0,69.62,10.08,720.80,7648.00,10.15,
55.5,81.66,9.90,851.00,7700.00,9.98,
56.0,77.10,9.95,839.80,8330.00,10.03,
56.5,82.90,9.92,789.90,8258.00,10.01,
57.0,125.68,9.88,1266.20,12514.00,10.01,
57.5,93.57,9.92,937.60,9310.00,10.01,
58.0,87.67,9.95,881.60,8994.00,10.04,
58.5,85.22,9.93,877.10,8468.00,10.02,
59.0,84.25,9.93,853.40,8496.00,10.02,
59.5,81.48,9.96,814.50,8098.00,10.04,
60.0,46.63,9.97,475.30,4772.00,10.02,
60.5,39.83,10.00,321.70,3208.00,10.04,
61.0,41.66,10.07,404.00,2648.00,10.11,
61.5,39.93,10.10,255.90,4014.00,10.14,
62.0,40.64,10.11,307.50,4046.00,10.15,
62.5,25.43,9.94,407.20,4086.00,9.96,
63.0,39.48,10.12,417.80,4194.00,10.16,
63.5,32.84,9.99,405.80,4092.00,10.02,
64.0,39.55,9.93,402.30,4034.00,9.97,
64.5,35.96,10.04,404.50,4076.00,10.08,
65.0,29.79,9.96,406.20,4044.00,9.99,
65.5,29.21,9.96,403.70,4076.00,9.99,
66.0,37.36,10.04,404.20,4070.00,10.08,
66.5,39.68,10.10,360.70,3444.00,10.14,
67.0,40.25,10.13,273.10,4018.00,10.17,
67.5,40.70,10.08,402.20,4050.00,10.12,
68.0,40.11,10.04,247.90,2460.00,10.08,
68.5,39.35,10.01,400.40,4046.00,10.05,
69.0,39.44,10.00,360.00,3604.00,10.04,
69.5,28.60,9.95,405.60,4096.00,9.98,
70.0,39.76,10.11,404.80,4064.00,10.15,
70.5,40.16,10.11,249.80,4038.00,10.15,
71.0,39.01,9.96,400.80,4034.00,10.00,
71.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
