Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
0.5,41.24,10.08,428.70,4342.00,10.12,
1.0,117.63,9.86,1207.60,11928.00,9.97,
1.5,102.56,9.88,1076.50,10516.00,9.98,
2.0,101.33,9.89,1050.30,10382.00,9.99,
2.5,102.99,9.90,1020.80,10092.00,10.00,
3.0,77.23,9.95,768.20,7644.00,10.03,
3.5,79.17,9.93,820.00,8146.00,10.01,
4.0,78.90,9.95,820.50,8166.00,10.03,
4.5,78.01,9.98,846.30,8376.00,10.06,
5.0,87.44,9.92,898.30,8894.00,10.00,
5.5,102.32,9.90,1005.20,9948.00,10.01,
6.0,103.55,9.90,1022.20,10112.00,10.00,
6.5,100.50,9.87,1033.00,10230.00,9.97,
7.0,98.72,9.92,992.20,9818.00,10.01,
7.5,129.90,9.83,1273.00,12692.00,9.96,
8.0,81.10,9.94,809.40,7842.00,10.02,
8.5,78.39,9.92,875.30,8658.00,10.00,
9.0,88.76,9.90,900.00,8982.00,9.99,
9.5,101.77,9.90,1001.90,9916.00,10.00,
10.0,104.47,9.91,1029.00,10106.00,10.01,
10.5,98.23,9.90,945.30,9362.00,10.00,
11.0,119.63,9.87,1156.20,11414.00,9.99,
11.5,98.00,9.91,984.30,9768.00,10.01,
12.0,74.31,9.95,765.50,7616.00,10.03,
12.5,80.33,9.92,796.50,7972.00,10.00,
13.0,84.96,9.94,877.50,8726.00,10.02,
13.5,116.50,9.85,1217.50,11252.00,9.97,
14.0,98.74,9.88,1028.00,10148.00,9.98,
14.5,103.01,9.86,1078.00,10630.00,9.97,
15.0,102.17,9.90,1015.70,10060.00,10.01,
15.5,94.29,9.91,945.80,9372.00,10.00,
16.0,76.33,9.96,727.90,7248.00,10.03,
16.5,77.06,9.94,777.30,7730.00,10.01,
17.0,81.74,9.94,827.00,8500.00,10.02,
17.5,84.03,9.93,851.10,8452.00,10.01,
18.0,103.99,9.89,1002.60,9926.00,9.99,
18.5,98.54,9.89,1034.30,10230.00,9.99,
19.0,98.14,9.92,976.90,9670.00,10.01,
19.5,93.43,9.90,937.10,9296.00,10.00,
20.0,96.92,9.90,960.70,9404.00,10.00,
20.5,76.55,9.94,763.50,7586.00,10.02,
21.0,81.34,9.96,805.00,8180.00,10.04,
21.5,80.08,9.88,832.00,8356.00,9.96,
22.0,74.86,9.97,852.40,8382.00,10.05,
22.5,104.33,9.88,1024.30,10142.00,9.98,
23.0,103.34,9.88,1077.80,10122.00,9.98,
23.5,96.90,9.90,991.10,9434.00,10.00,
24.0,92.04,9.91,956.90,9340.00,10.00,
24.5,115.28,9.88,1061.30,10548.00,10.00,
25.0,79.22,9.91,791.50,7854.00,9.99,
25.5,84.82,9.94,809.90,8064.00,10.02,
26.0,86.36,9.93,866.90,8596.00,10.01,
26.5,102.29,9.90,1028.30,10184.00,10.00,
27.0,98.76,9.90,1045.30,10346.00,9.99,
27.5,97.85,9.90,985.70,9762.00,10.00,
28.0,98.02,9.91,964.20,9546.00,10.01,
28.5,90.71,9.91,955.50,9474.00,10.00,
29.0,78.17,9.95,746.20,7442.00,10.03,
29.5,82.51,9.93,823.80,8202.00,10.01,
30.0,82.77,9.96,815.90,8434.00,10.04,
30.5,86.33,9.94,852.00,8238.00,10.02,
31.0,132.78,9.28,1688.00,16554.00,9.41,
31.5,98.83,9.90,984.90,10034.00,10.00,
32.0,97.84,9.89,984.80,9758.00,9.99,
32.5,93.02,9.93,954.60,9454.00,10.02,
33.0,76.79,9.95,751.80,7474.00,10.03,
33.5,76.55,9.93,766.70,7642.00,10.00,
34.0,82.59,9.91,789.70,7878.00,9.99,
34.5,75.47,10.02,805.70,8032.00,10.10,
35.0,96.85,9.90,944.10,9376.00,10.00,
35.5,107.68,9.88,1076.50,10424.00,9.99,
36.0,102.25,9.87,1043.70,10318.00,9.97,
36.5,95.63,9.91,956.20,9440.00,10.01,
37.0,95.79,9.91,925.40,9166.00,10.00,
37.5,71.71,9.95,738.00,7336.00,10.02,
38.0,77.40,9.97,773.70,7786.00,10.05,
38.5,80.61,9.94,797.10,7940.00,10.02,
39.0,81.13,9.92,766.70,8176.00,10.00,
39.5,82.02,9.96,755.80,7720.00,10.05,
40.0,96.43,9.91,987.90,9618.00,10.00,
40.5,97.10,9.89,1004.30,9932.00,9.99,
41.0,95.59,9.89,990.10,9798.00,9.99,
41.5,94.03,9.90,929.30,9198.00,10.00,
42.0,76.02,9.96,770.10,7658.00,10.03,
42.5,81.04,9.94,751.60,7854.00,10.02,
43.0,73.80,10.05,800.60,7920.00,10.12,
43.5,79.97,9.96,820.70,8142.00,10.04,
44.0,97.72,9.89,1015.40,10054.00,9.99,
44.5,96.69,9.90,964.00,9542.00,10.00,
45.0,71.47,9.98,709.40,7210.00,10.06,
45.5,91.53,9.90,936.10,9332.00,10.00,
46.0,71.09,9.95,1039.50,11822.00,10.02,
46.5,79.06,9.94,727.10,7238.00,10.02,
47.0,81.61,9.88,848.00,8408.00,9.96,
47.5,75.17,9.99,825.00,7980.00,10.06,
48.0,97.15,9.90,1019.60,9706.00,10.00,
48.5,97.36,9.88,992.90,9818.00,9.98,
49.0,97.82,9.90,952.90,9306.00,10.00,
49.5,87.55,9.91,933.40,9494.00,10.00,
50.0,94.41,9.89,963.20,9530.00,9.98,
50.5,78.19,9.94,776.80,7720.00,10.02,
51.0,75.22,9.96,799.90,7940.00,10.04,
51.5,74.01,10.05,786.40,7956.00,10.13,
52.0,80.09,9.93,833.80,8304.00,10.01,
52.5,98.54,9.90,1067.20,10578.00,9.99,
53.0,98.21,9.94,935.90,9486.00,10.03,
53.5,92.74,9.91,929.40,9348.00,10.00,
54.0,91.95,9.91,906.90,8910.00,10.00,
54.5,93.98,9.93,977.00,9634.00,10.03,
55.0,79.36,9.94,771.80,7176.00,10.02,
55.5,77.39,9.92,796.00,7878.00,10.00,
56.0,73.04,10.00,803.20,7962.00,10.08,
56.5,82.23,9.90,752.50,8264.00,9.98,
57.0,102.41,9.89,1042.90,10306.00,9.99,
57.5,96.13,9.89,970.50,9188.00,9.99,
58.0,108.09,9.87,1064.90,10460.00,9.98,
58.5,94.57,9.90,919.10,8896.00,9.99,
59.0,72.38,9.95,724.70,7200.00,10.02,
59.5,75.69,9.94,766.30,7618.00,10.02,
60.0,78.46,9.89,804.20,7834.00,9.97,
60.5,142.66,9.82,1350.20,13242.00,9.96,
61.0,119.10,9.87,1143.90,10696.00,9.99,
61.5,105.57,9.92,1048.40,10210.00,10.03,
