Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
0.5,41.94,10.13,420.50,4228.00,10.17,
1.0,86.40,9.93,888.00,8796.00,10.02,
1.5,78.58,9.93,803.70,7972.00,10.01,
2.0,84.27,9.94,804.80,8264.00,10.03,
2.5,76.18,9.95,770.90,7658.00,10.03,
3.0,77.19,9.96,772.00,7672.00,10.03,
3.5,76.19,9.94,746.70,6892.00,10.02,
4.0,75.26,9.94,765.00,7608.00,10.02,
4.5,73.91,9.97,741.20,7392.00,10.05,
5.0,74.55,9.95,744.20,7396.00,10.02,
5.5,76.14,9.94,731.70,7278.00,10.02,
6.0,75.70,9.95,767.10,7746.00,10.02,
6.5,103.37,9.90,1035.60,10188.00,10.00,
7.0,76.91,9.92,805.80,8008.00,10.00,
7.5,75.50,9.94,724.30,7216.00,10.02,
8.0,74.08,9.99,741.10,7366.00,10.06,
8.5,182.31,9.84,1626.70,16722.00,10.02,
9.0,73.35,9.96,674.20,6720.00,10.04,
9.5,72.54,9.96,753.80,7488.00,10.04,
10.0,77.32,9.94,746.70,7652.00,10.01,
10.5,72.33,9.96,726.30,7236.00,10.03,
11.0,78.17,9.95,756.00,7510.00,10.03,
11.5,76.52,9.95,759.70,7310.00,10.03,
12.0,75.10,9.94,754.40,7490.00,10.02,
12.5,75.19,9.96,769.40,7484.00,10.03,
13.0,75.91,9.94,793.20,7884.00,10.02,
13.5,76.90,9.95,741.60,7372.00,10.02,
14.0,74.91,9.95,743.60,7582.00,10.02,
14.5,72.73,9.96,708.20,7064.00,10.03,
15.0,79.55,9.92,722.70,7228.00,10.00,
15.5,74.91,9.96,738.10,7418.00,10.03,
16.0,73.43,9.97,747.40,7422.00,10.05,
16.5,69.76,9.97,745.60,7396.00,10.04,
17.0,73.98,9.95,774.40,7700.00,10.02,
17.5,75.71,9.96,733.60,7308.00,10.04,
18.0,83.13,9.96,800.30,7996.00,10.04,
18.5,86.14,9.90,893.20,8910.00,9.99,
19.0,75.84,9.96,716.20,7134.00,10.03,
19.5,123.42,9.85,1227.40,11908.00,9.97,
20.0,78.97,9.99,747.50,7482.00,10.07,
20.5,74.89,9.94,696.40,7514.00,10.02,
21.0,71.31,9.96,743.60,7366.00,10.03,
21.5,124.35,9.85,1091.10,10706.00,9.97,
22.0,73.69,9.95,754.70,7508.00,10.02,
22.5,67.96,9.98,727.70,7254.00,10.04,
23.0,77.67,9.95,756.40,7518.00,10.03,
23.5,76.44,9.95,760.40,7562.00,10.03,
24.0,74.47,9.95,770.80,7652.00,10.03,
24.5,73.18,9.94,764.20,7556.00,10.01,
25.0,72.51,9.96,741.00,7328.00,10.04,
25.5,73.02,9.97,702.20,7002.00,10.04,
26.0,69.27,9.98,712.80,7104.00,10.05,
26.5,73.52,9.94,730.90,7272.00,10.02,
27.0,72.92,9.95,672.60,6704.00,10.02,
27.5,69.72,9.98,720.40,6976.00,10.05,
28.0,71.46,9.98,716.10,7120.00,10.05,
28.5,73.92,9.97,747.10,7412.00,10.04,
29.0,72.99,9.95,709.60,7254.00,10.02,
29.5,86.44,9.96,819.20,8170.00,10.05,
30.0,74.17,9.96,718.50,7166.00,10.03,
30.5,72.45,9.95,696.90,7262.00,10.02,
31.0,69.46,9.96,719.30,7150.00,10.03,
31.5,146.63,9.83,1367.80,14106.00,9.98,
32.0,72.74,9.98,694.70,6920.00,10.05,
32.5,72.34,9.95,725.50,7150.00,10.02,
33.0,69.91,9.98,733.00,7288.00,10.05,
33.5,67.76,9.99,738.30,7248.00,10.06,
34.0,75.28,9.97,775.20,7700.00,10.04,
34.5,73.02,9.96,738.50,7340.00,10.03,
35.0,79.00,9.94,775.60,7944.00,10.02,
35.5,77.71,9.94,762.30,7586.00,10.02,
36.0,74.96,9.98,772.80,7680.00,10.05,
36.5,73.52,9.97,738.60,7180.00,10.04,
37.0,74.40,9.94,743.30,7412.00,10.02,
37.5,71.30,9.96,722.60,7170.00,10.03,
38.0,70.21,9.99,695.80,6946.00,10.06,
38.5,72.75,9.95,718.80,7160.00,10.02,
39.0,69.23,9.97,722.50,6956.00,10.04,
39.5,73.15,9.95,733.80,7248.00,10.02,
40.0,72.25,9.96,742.90,7392.00,10.03,
40.5,74.31,9.94,743.80,7446.00,10.02,
41.0,106.28,9.89,1101.30,10908.00,9.99,
41.5,70.80,9.97,704.70,6492.00,10.04,
42.0,68.28,10.02,712.40,7110.00,10.08,
42.5,73.82,9.95,730.20,7282.00,10.02,
43.0,74.34,9.97,742.80,7390.00,10.05,
43.5,71.72,9.94,757.50,7534.00,10.02,
44.0,102.34,9.92,971.30,9928.00,10.02,
44.5,73.15,9.95,730.10,7272.00,10.02,
45.0,72.23,9.98,740.10,7356.00,10.05,
45.5,73.16,9.96,743.30,7390.00,10.03,
46.0,73.12,9.93,1306.50,12590.00,10.01,
46.5,72.84,9.95,735.10,7320.00,10.02,
47.0,74.49,9.95,743.90,7406.00,10.03,
47.5,73.06,9.96,712.90,7092.00,10.03,
48.0,73.31,9.96,739.20,7472.00,10.03,
48.5,74.95,9.94,754.50,7500.00,10.02,
49.0,71.04,9.97,738.50,7074.00,10.04,
49.5,73.50,9.97,724.20,7236.00,10.04,
50.0,71.87,9.96,712.10,7092.00,10.04,
50.5,73.69,9.96,723.30,7308.00,10.04,
51.0,70.02,9.96,709.40,7062.00,10.03,
51.5,73.56,9.96,736.70,7336.00,10.03,
52.0,67.28,9.98,696.00,6924.00,10.04,
52.5,74.04,9.96,732.50,7294.00,10.04,
53.0,74.36,9.95,739.10,7190.00,10.03,
53.5,71.03,9.97,755.80,7510.00,10.04,
54.0,72.98,9.96,729.90,7272.00,10.03,
54.5,70.17,9.96,708.30,7016.00,10.03,
55.0,77.12,9.96,768.20,7672.00,10.03,
55.5,73.45,9.97,739.70,7370.00,10.04,
56.0,71.86,9.97,729.40,7284.00,10.04,
56.5,70.97,9.97,707.30,7068.00,10.04,
57.0,100.94,9.90,948.90,9454.00,10.00,
57.5,67.37,10.00,721.90,7164.00,10.07,
58.0,67.19,9.97,692.70,6982.00,10.04,
58.5,73.50,9.96,737.20,7406.00,10.04,
59.0,70.77,9.94,717.10,7136.00,10.01,
59.5,73.45,9.99,750.70,7482.00,10.07,
60.0,76.78,9.95,764.60,7520.00,10.03,
60.5,70.04,9.97,717.50,7128.00,10.04,
61.0,77.13,9.94,772.40,7694.00,10.02,
61.5,72.46,9.96,709.90,7068.00,10.04,
62.0,69.16,9.98,681.70,6796.00,10.05,
62.5,70.79,9.96,717.10,7140.00,10.03,
63.0,71.07,9.97,703.10,6764.00,10.04,
63.5,68.46,9.97,690.00,6874.00,10.04,
64.0,69.55,9.96,713.80,7108.00,10.03,
64.5,106.15,9.82,1090.30,10932.00,9.93,
65.0,70.86,9.97,721.50,7140.00,10.04,
65.5,75.91,9.99,766.10,7582.00,10.07,
66.0,70.20,9.96,672.60,6704.00,10.03,
66.5,69.11,10.00,711.70,7084.00,10.07,
67.0,68.48,9.96,716.80,7136.00,10.02,
67.5,69.41,9.97,704.40,7382.00,10.04,
68.0,73.90,9.95,731.30,7284.00,10.03,
68.5,89.37,9.95,879.10,8746.00,10.04,
69.0,71.53,9.96,737.80,6980.00,10.03,
69.5,70.46,9.97,725.10,7232.00,10.04,
70.0,69.75,9.96,706.40,7046.00,10.03,
70.5,71.23,9.98,715.10,7144.00,10.05,
71.0,70.81,9.97,713.80,7098.00,10.04,
71.5,111.32,9.88,1112.90,9656.00,10.00,
72.0,72.75,9.97,720.00,7166.00,10.04,
72.5,72.05,9.92,720.00,7170.00,10.00,
73.0,72.97,9.97,720.40,7136.00,10.04,
73.5,70.62,9.96,684.00,6820.00,10.03,
74.0,69.80,9.98,692.70,6902.00,10.05,
74.5,73.23,9.96,745.10,7396.00,10.03,
75.0,69.09,9.96,706.70,7048.00,10.03,
75.5,70.28,9.97,704.70,7028.00,10.04,
76.0,70.85,9.96,721.30,7186.00,10.03,
76.5,70.92,9.96,692.60,7124.00,10.03,
77.0,78.21,9.97,758.30,7560.00,10.05,
77.5,141.82,9.52,1614.00,15964.00,9.67,
78.0,70.53,9.96,704.50,6878.00,10.03,
78.5,85.04,9.95,789.20,7872.00,10.03,
79.0,71.45,9.97,1029.20,9794.00,10.04,
79.5,70.56,9.96,714.70,7114.00,10.03,
80.0,70.68,9.96,706.30,7038.00,10.03,
80.5,69.33,9.99,692.40,9418.00,10.06,
81.0,70.83,9.97,715.60,7170.00,10.04,
81.5,91.24,9.92,900.40,8940.00,10.01,
82.0,68.68,9.97,706.30,6892.00,10.04,
82.5,71.41,9.97,713.30,7104.00,10.04,
83.0,70.87,9.96,719.60,7164.00,10.03,
83.5,71.08,9.96,700.40,6980.00,10.04,
84.0,78.02,9.94,758.00,7678.00,10.02,
84.5,71.10,9.96,702.90,6964.00,10.03,
85.0,65.88,9.98,651.00,6540.00,10.05,
85.5,70.08,9.97,704.50,7082.00,10.04,
86.0,69.82,9.98,703.70,7056.00,10.05,
86.5,69.36,9.96,706.20,7038.00,10.03,
87.0,66.97,9.98,670.10,6678.00,10.05,
87.5,71.58,9.98,711.50,6866.00,10.06,
88.0,67.99,9.98,679.90,6790.00,10.04,
88.5,71.28,9.96,712.30,7104.00,10.03,
89.0,70.25,9.92,858.50,8752.00,9.99,
89.5,70.72,9.94,719.20,7156.00,10.01,
90.0,71.22,9.96,713.60,7108.00,10.03,
90.5,69.02,9.99,694.80,6938.00,10.06,
91.0,72.90,9.93,749.60,7458.00,10.00,
91.5,73.87,9.96,742.60,7310.00,10.03,
92.0,69.32,9.96,675.30,7068.00,10.03,
92.5,69.02,10.04,656.30,6566.00,10.11,
93.0,85.15,9.94,861.00,8566.00,10.02,
93.5,70.07,9.97,686.10,6822.00,10.04,
94.0,66.07,10.00,676.50,6744.00,10.07,
94.5,68.34,9.96,688.40,6866.00,10.03,
95.0,71.89,9.96,720.40,7166.00,10.03,
95.5,69.20,9.96,688.80,6848.00,10.03,
96.0,123.75,9.80,1273.60,12548.00,9.92,
96.5,68.38,9.95,668.40,6658.00,10.02,
97.0,68.00,9.98,704.80,6990.00,10.04,
97.5,68.19,9.98,664.30,6646.00,10.05,
98.0,67.58,9.97,677.00,6756.00,10.04,
98.5,69.61,9.98,709.30,7068.00,10.05,
99.0,74.49,10.00,703.10,7036.00,10.08,
99.5,66.07,9.97,688.00,6888.00,10.04,
100.0,71.96,10.00,715.30,7146.00,10.07,
100.5,67.35,9.99,687.40,6846.00,10.06,
101.0,70.13,9.99,729.40,7144.00,10.06,
101.5,70.04,9.96,692.10,7028.00,10.03,
102.0,70.86,9.94,700.60,6974.00,10.01,
102.5,67.59,9.98,666.60,6638.00,10.04,
103.0,81.84,9.95,812.80,8176.00,10.03,
103.5,69.72,10.03,675.20,6756.00,10.10,
104.0,69.12,9.95,722.80,7192.00,10.02,
104.5,67.99,9.99,671.30,6694.00,10.06,
105.0,68.23,9.97,671.60,6708.00,10.04,
105.5,69.67,9.96,666.50,6648.00,10.03,
106.0,67.17,9.97,689.40,6632.00,10.04,
106.5,65.30,9.98,685.50,6828.00,10.05,
107.0,68.67,9.97,673.70,6730.00,10.04,
107.5,68.87,9.97,691.90,6874.00,10.04,
108.0,67.80,9.97,685.20,6832.00,10.04,
108.5,72.80,9.98,737.00,7334.00,10.05,
109.0,70.98,9.93,701.50,6982.00,10.00,
109.5,68.75,9.97,697.00,6966.00,10.04,
110.0,65.79,9.98,667.40,6646.00,10.05,
110.5,67.67,9.94,690.50,6872.00,10.01,
111.0,72.04,9.96,720.60,7098.00,10.03,
111.5,70.03,9.99,696.90,6954.00,10.06,
112.0,66.35,9.98,689.10,6816.00,10.04,
112.5,67.68,9.97,688.00,6638.00,10.04,
113.0,69.72,9.95,671.20,6704.00,10.02,
113.5,67.30,9.98,671.10,7022.00,10.05,
114.0,71.70,10.00,720.40,7074.00,10.07,
114.5,68.32,9.97,677.10,6744.00,10.04,
115.0,70.53,9.98,690.50,6888.00,10.05,
115.5,68.39,9.98,687.10,6856.00,10.05,
116.0,75.93,9.94,739.20,7636.00,10.02,
116.5,67.07,9.95,689.40,6862.00,10.02,
117.0,68.33,9.98,683.60,6822.00,10.04,
117.5,76.26,9.92,787.50,7766.00,10.00,
118.0,68.45,10.00,669.30,6694.00,10.07,
118.5,69.26,9.96,686.50,6802.00,10.03,
119.0,77.01,9.93,776.00,7714.00,10.01,
119.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
