Time (s),shunt V (mV),bus V ,current mA,power mW,load V,,,
0.5,34.5,8.05,344.2,2776,8.08,,Avg Table,
1,83.78,7.96,860.8,6856,8.05,,shunt V (mV),70.59607595
1.5,70.79,7.98,708.4,5734,8.05,,current mA,706.0485232
2,68.29,7.99,707.7,5102,8.06,,power mW,5619.822785
2.5,64.3,7.99,645.5,5158,8.06,,,
3,70.39,7.98,742,5738,8.05,,,
3.5,67.47,7.99,650.1,5184,8.06,,,
4,63.24,7.99,667.6,5230,8.05,,,
4.5,67.25,7.99,672.6,5368,8.06,,,
5,65.39,7.99,654,5198,8.05,,,
5.5,69.42,7.99,636.9,5296,8.06,,,
6,64.68,7.98,708.1,5514,8.04,,,
6.5,63.71,8,669.1,5466,8.06,,,
7,63.76,7.98,668.9,5400,8.04,,,
7.5,68.56,7.99,643.2,5262,8.06,,,
8,64.47,7.98,697.4,5568,8.05,,,
8.5,74.22,7.97,764.4,6092,8.05,,,
9,67.21,7.98,680.4,5436,8.05,,,
9.5,90.44,7.96,815,6492,8.05,,,
10,67.93,7.98,681.6,5430,8.05,,,
10.5,71.81,7.98,654.4,5570,8.05,,,
11,69.52,7.97,707.7,5640,8.04,,,
11.5,61.51,7.99,675.7,5394,8.05,,,
12,104.3,7.91,1104.1,8736,8.01,,,
12.5,70.67,7.96,759.5,6050,8.03,,,
13,71.82,7.98,704.8,5624,8.05,,,
13.5,64.08,7.99,661.4,5282,8.05,,,
14,78.48,7.96,789,6282,8.04,,,
14.5,62.59,7.99,599.7,4790,8.05,,,
15,64.11,7.99,609.4,4866,8.05,,,
15.5,111.96,7.9,1099.5,8694,8.02,,,
16,63.59,7.99,684,5460,8.05,,,
16.5,68.52,7.98,650.7,5194,8.05,,,
17,66.71,7.98,675.8,4934,8.04,,,
17.5,66.74,7.98,678.7,5544,8.04,,,
18,108.38,7.9,1125.4,8422,8,,,
18.5,65.96,7.98,645.2,5292,8.05,,,
19,64.86,7.98,641.8,5118,8.04,,,
19.5,70.68,7.97,683.1,5450,8.04,,,
20,64.12,7.98,697.2,5564,8.04,,,
20.5,61.91,7.99,625.4,4990,8.05,,,
21,66.6,7.99,602.7,4810,8.05,,,
21.5,64.03,7.98,660.9,5272,8.05,,,
22,71.19,7.98,669.5,5334,8.05,,,
22.5,66.95,7.98,682.5,5440,8.04,,,
23,70.28,7.97,690.5,5456,8.04,,,
23.5,64,7.98,620.6,4948,8.05,,,
24,97.17,7.92,936.7,6980,8.02,,,
24.5,64.12,7.98,668,5364,8.04,,,
25,65.03,7.98,669.7,5344,8.05,,,
25.5,75.92,7.96,695.3,5534,8.03,,,
26,66.36,7.98,619,4938,8.05,,,
26.5,63.32,7.98,622.4,4964,8.04,,,
27,69.5,7.97,758.1,6040,8.04,,,
27.5,66.23,7.98,639.2,5098,8.04,,,
28,65.16,7.97,670.9,5348,8.04,,,
28.5,81.04,7.95,830.4,6596,8.03,,,
29,138.59,7.85,1393.9,10460,7.99,,,
29.5,66.14,7.97,669.3,5296,8.04,,,
30,109.66,7.9,1043.3,8458,8.01,,,
30.5,103.28,7.91,952.7,6544,8.02,,,
31,67.98,7.97,648,5316,8.04,,,
31.5,62.87,7.98,662.2,5262,8.04,,,
32,98.18,7.92,938.3,7560,8.01,,,
32.5,81.68,7.95,765.3,6292,8.03,,,
33,63.59,7.98,639,5194,8.04,,,
33.5,65.87,7.97,633.2,5226,8.03,,,
34,64.66,7.97,672.7,5360,8.04,,,
34.5,66.03,7.98,641,5282,8.04,,,
35,116.47,7.88,1161.5,9158,8,,,
35.5,70.25,7.94,909.3,7212,8.01,,,
36,66.45,7.97,666.6,5318,8.03,,,
36.5,60.76,7.98,640.5,5102,8.04,,,
37,74.47,7.95,842.1,6692,8.02,,,
37.5,61.6,7.97,657,5240,8.03,,,
38,75.75,7.96,754.4,6000,8.03,,,
38.5,60.38,7.98,680.4,5420,8.04,,,
39,67.32,7.97,671,5220,8.04,,,
39.5,69.39,7.96,682,5306,8.03,,,
40,66.94,7.97,684.5,5420,8.03,,,
40.5,78.08,7.94,696.4,5544,8.02,,,
41,73.35,7.95,731.1,5856,8.03,,,
41.5,67.13,7.97,620.4,7038,8.04,,,
42,65.03,7.97,664.2,5162,8.03,,,
42.5,69.38,7.96,737.6,5868,8.03,,,
43,133.4,7.86,1315,10332,7.99,,,
43.5,70.59,7.96,686,5580,8.03,,,
44,69.89,7.96,708.1,5564,8.03,,,
44.5,66.13,7.98,641.5,4902,8.04,,,
45,68.21,7.96,678,5400,8.03,,,
45.5,62.1,7.97,612.1,4876,8.03,,,
46,66.76,7.96,647.6,4778,8.03,,,
46.5,64.75,7.97,652.1,5194,8.03,,,
47,64.38,7.97,648.5,5170,8.03,,,
47.5,64.35,7.97,628.9,5010,8.03,,,
48,71.11,7.96,747.1,5832,8.03,,,
48.5,62.73,7.96,659.2,5252,8.03,,,
49,64.81,7.97,653.5,5204,8.03,,,
49.5,66.05,7.97,676.1,5384,8.03,,,
50,66.28,7.96,671,5344,8.03,,,
50.5,66.26,7.97,675.4,5380,8.03,,,
51,66.5,7.96,669.2,5328,8.03,,,
51.5,62.91,7.96,692.3,5512,8.03,,,
52,65.85,7.97,600.3,4780,8.03,,,
52.5,71.83,7.96,724,5768,8.03,,,
53,61.48,7.98,635.9,5070,8.04,,,
53.5,66.92,7.96,625.3,5162,8.03,,,
54,71.5,7.95,740,5892,8.02,,,
54.5,66.4,7.97,677.7,5400,8.04,,,
55,67.34,7.96,669.8,5332,8.03,,,
55.5,66.54,7.96,680.4,5416,8.03,,,
56,61.67,7.98,642.6,5128,8.04,,,
56.5,89.89,7.93,876.1,5914,8.02,,,
57,86.95,7.93,849.8,6946,8.01,,,
57.5,79.78,7.94,691.5,5496,8.02,,,
58,64.9,7.96,648.7,5288,8.02,,,
58.5,62.94,7.96,643.2,4988,8.03,,,
59,67.61,7.96,632.6,5040,8.03,,,
59.5,64.76,7.96,655.5,5224,8.03,,,
60,63.9,7.96,597.7,5116,8.03,,,
60.5,66.6,7.96,608.4,5388,8.03,,,
61,59.87,7.96,652.4,5194,8.02,,,
61.5,67.76,7.96,654.9,5214,8.02,,,
62,66.56,7.96,672.1,5352,8.02,,,
62.5,80.09,7.94,789,5868,8.02,,,
63,65.86,7.96,754.6,5990,8.03,,,
63.5,65.56,7.96,664.1,5288,8.03,,,
64,70.66,7.95,705.8,5616,8.02,,,
64.5,66.61,7.96,667.6,5318,8.03,,,
65,63.19,7.96,655,5220,8.02,,,
65.5,63.73,7.96,633.7,5044,8.03,,,
66,65.04,7.96,650.2,5174,8.03,,,
66.5,67.87,7.95,706.4,5616,8.02,,,
67,98.84,7.9,955.8,7560,8,,,
67.5,125.76,7.86,1231.7,9690,7.99,,,
68,61.53,7.96,665.3,5298,8.02,,,
68.5,64.06,7.96,672.4,5352,8.02,,,
69,62.93,7.96,621.4,4948,8.02,,,
69.5,72.9,7.94,767.5,6102,8.02,,,
70,63.67,7.96,650,5178,8.02,,,
70.5,62.73,7.96,664,5270,8.03,,,
71,63.68,7.96,690.1,5128,8.02,,,
71.5,62.24,7.97,672.4,5352,8.03,,,
72,66.48,7.96,676.5,5388,8.03,,,
72.5,68.8,7.96,683.8,5344,8.02,,,
73,70.13,7.96,654.5,5200,8.03,,,
73.5,81.53,7.93,758.3,5914,8.01,,,
74,64.66,7.96,650.6,5496,8.02,,,
74.5,64.52,7.95,712.5,5548,8.01,,,
75,64.68,7.95,658,5242,8.02,,,
75.5,60.62,7.96,607.6,4872,8.02,,,
76,62.31,7.96,666.6,5178,8.02,,,
76.5,61.49,7.96,662.1,4988,8.02,,,
77,66.86,7.96,602.5,4794,8.02,,,
77.5,63.28,7.96,669.6,5358,8.03,,,
78,61.48,7.96,651.2,5404,8.02,,,
78.5,69.38,7.95,695.3,5528,8.02,,,
79,96.8,7.9,898.5,7114,8,,,
79.5,56.28,7.97,645.9,5128,8.03,,,
80,64.4,7.96,628.9,5008,8.02,,,
80.5,72.35,7.94,694.9,5518,8.02,,,
81,62.74,7.96,616.1,4906,8.03,,,
81.5,67.61,7.96,652.6,5026,8.03,,,
82,168.41,7.78,1618,12848,7.95,,,
82.5,66.74,7.95,671.5,5342,8.02,,,
83,67.9,7.95,693.3,5206,8.02,,,
83.5,88.8,7.92,887,7012,8,,,
84,63.82,7.96,576.9,4752,8.03,,,
84.5,93.04,7.91,808.4,6104,8.01,,,
85,98.59,7.9,991.8,7218,8,,,
85.5,66.42,7.95,627.5,5312,8.02,,,
86,60.09,7.96,625.1,4672,8.02,,,
86.5,67.6,7.95,683.4,5404,8.02,,,
87,64.25,7.96,622.1,4952,8.02,,,
87.5,70.7,7.94,656.1,5214,8.01,,,
88,68,7.95,668.2,5316,8.02,,,
88.5,69.12,7.95,659.1,5298,8.02,,,
89,68.39,7.95,661.2,5260,8.02,,,
89.5,68.53,7.95,663.2,5462,8.02,,,
90,62.72,7.96,632.4,5144,8.02,,,
90.5,58.86,7.96,653.6,5148,8.02,,,
91,60.1,7.96,621.4,4918,8.02,,,
91.5,61.87,7.96,650.3,4860,8.02,,,
92,65.87,7.96,656,5162,8.02,,,
92.5,70.04,7.94,697.1,5538,8.01,,,
93,66.2,7.95,597.7,4752,8.02,,,
93.5,65.06,7.95,632.5,5034,8.02,,,
94,64.43,7.96,644.4,5126,8.02,,,
94.5,63.82,7.96,606,4820,8.02,,,
95,73.52,7.94,677.4,5384,8.01,,,
95.5,65.44,7.95,626.3,4980,8.02,,,
96,128.56,7.85,1274.9,9932,7.98,,,
96.5,61.28,7.95,631.9,5030,8.01,,,
97,70.77,7.94,706.1,5614,8.01,,,
97.5,86.31,7.92,806.9,6390,8.01,,,
